1	Penjelasan SMAN 3 Semarang soal SKS dan Nilai di PDSS Online yang Tak Terisi. Semarang - Sistem Kredit Semester (SKS) yang diterapkan SMAN 3 Semarang sudah dilakukan sejak 2012. Selama itu tidak ada masalah sehingga pihak sekolahan merasa tidak bisa disalahkan terkait "musibah" 380 siswa IPA reguler tidak lolos SNMPTN. "Di kami penginput datanya ada empat orang, ahli IT semua," kata Kepala SMAN 3 Semarang, Bambang Nianto, di kantornya, Jl Pemuda, Kamis (12/5/2016). Wakil Kepala Sekolah bidang Kurikulum, Emmy Irianingsih menambahkan SKS yang diterapkan di SMAN 3 Semarang merupakan pola discontinue yang artinya mata pelajaran disetting on atau off pada semester tertentu. "SKS sudah sejak 2012 dengan pola discontinue, artinya mata pelajaran disetting on off. Nah di sistemnya PDSS (Pangkalan Data Sekolah dan Siswa) baru sekarang ini memfasilitasi khusus untuk sistem SKS yang ini," kata Emmy kepada detikcom. Ia menjelaskan pola SKS tersebut yaitu dibuat empat seri yang dikembangkan untuk 5 atau 6 semester sehingga mata pelajarannya dibagi. Jika dalam satu semester tidak ada mata pelajaran misalnya Kimia, maka statusnya off. "Bukan nilainya yang kurang, memang mata pelajarannya tidak muncul karena off, jadi munculunya misal di semester 1, 3, 4, dan 6," terang Emmy. Ada variabel untuk sekolahan menentukan pelajaran yang on atau off di tiap semesternya, antara lain jumlah jam ajar guru, mata pelajaran tiap semester, dan beban belajar tiap semester. "Pengaturan (mata pelajaran) ada variabel yang harus diperhatikan. Yang menentukan sekolahan," tegasnya. Ketika ditanya terkait keluhan siswa tentang nilai yang tidak tercantum untuk SNMPTN, Emmy enggan menjawab. Menurutnya nilai yang kosong itu adalah mata pelajaran yang statusnya off. "Yang off itu (yang kosong), karena memang tidak ditempuh misal kimia di semester 3. Karena off mata pelajaran tidak muncul di tiap semester," pungkas Emmy. Pihak sekolah tidak berkenan disalahkan terkait "musibah" itu. Maka pihak orang tua siswa, sekolah, dan Disdik Kota Semarang membuat tim untuk melakukan investigasi untuk mengungkapkan faktor apa yang menyebabkan ratusan siswa itu gagal SNMPTN.
2	KPK Pelajari Temuan BPK soal Dugaan Kunker Fiktif Anggota DPR. Jakarta - KPK akan mempelajari temuan BPK terkait dugaan kunjungan kerja (kunker) fiktif anggota DPR yang merugikan keuangan negara hingga Rp 945 miliar. Temuan itu akan ditelaah terlebih dulu. "KPK akan melihat hasil temuan itu dulu karena sejauh ini baru melihat dari pemberitaan saja," ucap Plh Kabiro Humas KPK Yuyuk Andriati saat dikonfirmasi, Kamis (12/5/2016). Dugaan kunker fiktif ini terungkap dari inisiatif yang dilakukan Fraksi PDIP DPR. PDIP meminta anggotanya membuat laporan hasil kunker dan kunjungan di masa reses. "BPK melakukan audit terhadap DPR, lalu menemukan sejumlah kekurangan terkait kunjungan kerja anggota dewan," kata Wakil Ketua Fraksi PDIP DPR Hendrawan Supratikno kepada wartawan, Kamis (12/5/2016). Dugaan kunker fiktif ini berlaku untuk seluruh fraksi, bukan hanya PDIP. Namun PDIP berinisiatif untuk menagih laporan kunker anggotanya. PDIP mendapat informasi dari Sekretariat Jenderal (Setjen) DPR soal hasil audit BPK itu. Dalam suratnya kepada fraksi-fraksi DPR, Setjen DPR menginformasikan tentang diragukannya keterjadian kunjungan kerja anggota DPR dalam melaksanakan tugasnya, sehingga potensi kerugian negara mencapai Rp 945.465.000.000. PDIP lalu berinisiatif menagih laporan kerja anggota fraksinya. Setiap anggota, setelah melakukan kunjungan, baik itu kunjungan reses ataupun ke luar negeri, wajib menyetorkan laporan secara mendetail disertai bukti-bukti kunjungan.
3	Ini Tahapan Munaslub Golkar 15-16 Mei di Bali. Jakarta - Munaslub Golkar bergulir setelah tiga kali berubah jadwal. Berikut tahapan-tahapan munaslub Golkar berdasarkan jadwal terbaru. Wakil Ketua Organizing Commitee Munaslub Golkar Tantowi Yahya menjelaskan jadwal terbaru forum tertinggi partai berlambang pohon beringin itu. Rencananya, Munaslub Golkar akan dibuka oleh Presiden Jokowi tanggal 15 Mei 2016. Dan ditutup Wapres Jusuf Kalla pada 16 Mei 2016. Arena munaslub yaitu di Bali Nusa Dua Convention Centre (BNDCC). "3.000-an Kader Golkar dari seluruh Indonesia akan hadir di Bali Nusa Dua Convention Centre (BNDCC), menjadi bagian dari Munaslub yang menandai awal kebangkitan Partai Golkar," kata Tantowi kepada wartawan, Selasa (10/5/2016). Panitia juga menyiapkan serangkaian acara pramunaslub untuk memeriahkan suasana. Yang saat ini masih dan akan terus berlangsung adalah sosialisasi dan kampanye tiga zona, yaitu di Medan, Surabaya, dan Bali. Lalu, para caketum akan 'bertarung' dalam debat publik yang disiarkan televisi nasional. "Melalui debat publik, rakyat Indonesia sebagai pemilik partai ini akan mengetahui ide dan gagasan masing-masing calon terkait partisipasi Partai Golkar dalam pembangunan ekonomi dan kesejahteraan melalui pendidikan dan pemerataan. Serta di bidang Polhukam khususnya terkait isu radikaslisme, separatisme, komunisme dan keadilan hukum," papar Tantowi. "Partai Golkar harus mampu memberikan solusi.  Ketum Golkar ARB menekankan materi debat harus nyambung dengan kebutuhan dan perhatian rakyat Indonesia saat ini," imbuhnya. Tantowi mengingatkan munaslub ini harus jadi ajang rekonsiliasi, bukan forum permusuhan. Munaslub harus dijadikan ajang kebangkitan Golkar dalam rangka menyongsong Pemilu 2019. Para caketum harus bisa memanfaatkan ajang munaslub untuk meraih simpati publik. Sharing pemikiran dan ide membangun bangsa harus dikedepankan, agar rakyat tahu kualitas kader Golkar. "Sebagai parpol tertua dan paling banyak mengenyam pengalaman, melalui para calon ketua umumnya, ide, pemikiran dan gagasan besar Partai Golkar dalam pembangunan di berbagai bidang  harus bisa ditangkap oleh rakyat," ujar Tantowi. "Sebagai Parpol yang mengusung "Suara Golkar Suara Rakyat" sebagai landasan perjuangan, ketua umum berikutnya haruslah nyambung dengan rakyat," pungkas bakal cagub Banten dari Golkar ini.
4	Kondisi Kebun Binatang Bandung Saat Ini, Banyak Kandang Rusak dan Kotor. Bandung - Petisi online yang menyoroti kondisi Kebun Binatang Bandung muncul di media sosial. Mereka merasa prihatin dengan kondisi tempat wisata yang ada di Jalan Tamansari tersebut. Seperti apa kondisi Kebun Binatang Bandung saat ini? Detikcom mendatangi langsung Kebun Binatang Bandung, Selasa (3/5/2016). Meski hari biasa, cukup ramai dengan rombongan anak TK. Ada juga keluarga yang membawa serta anak-anaknya. Tiket masuk, dipatok Rp 20.000. Detikcom berjalan menyusuri setiap kandang. Kondisi kandang ada yang baru, ada juga yang sudah rusak, namun belum diperbaiki. Beberapa kandang terlihat kosong tak terisi binatang. Tidak ada petunjuk yang menunjukkan hewan apa sebelumnya yang tinggal di sana. Menyusuri lebih jauh, ada kandang Sapi yang cukup memprihatinkan. Pembatas kandang yang terbuat dari besi rusak, beberapa patah. Pohon besar di sekitar kandang terlihat rubuh. Namun dibiarkan begitu saja di dalam kandang. Pengunjung yang melintas di kandang tersebut mempercepat langkahnya. "Takut juga ya kandangnya bolong-bolong gitu. Rusak. Gimana kalau kabur coba," ujar Tika (45) warga Cibiru. Intensitas hujan yang masih sering mengguyur Kota Bandung juga membuat kandang becek dan kumuh. Beberapa binatang juga tampak kotor. Melihat sisi lain Kebun Binatang Bandung, ada bangunan museum yang dibiarkan tak terawat. Museum aquarium dan aneka binatang langka yang diawetkan serta ikan hias dibiarkan berlumut dan tumbuhan liar. Ada juga bangunan toilet yang sudah tak terpakai. Dibiarkan tak diurus. Deni (27) warga Purwakarta mengaku sudah dua kali datang ke Kebun Binatang Bandung. Kali kedua ini, Ia merasa kandang banyak yang kosong dan tak terawat. "Pertama tahun 2014, binatang masih banyak. Masih cukup terawat. Sekarang tadi banyak kandang yang kosong. Mungkin pada mati," ujarnya. Deni berharap Kebun Binatang Bandung ke depannya bisa lebih baik dan binatangnya lebih banyak lagi. "Ya binatangnya dibanyakin. Fasilitasnya juga. Ini kata saya terlalu jadul, enggak ada perubahan. Malah banyak yang jualan," tandasnya.
5	Ahok Jelaskan Perjanjian Kewajiban tambahan Antara DKI dan Pengembang. Jakarta - Gubernur DKI Basuki Tjahaja Purnama (Ahok) menjelaskan perjanjian soal kewajiban tambahan yang dikenakan ke perusahaan pengembang proyek reklamasi Teluk Jakarta. Perjanjian ini dibikin agar para pengembang mau membayar kewajibannya sebagai syarat perpanjangan izin menggarap reklamasi. "Jadi isi suratnya itu adalah, kami minta kontribusi tambahan, kalau kamu mau disambung izin pulau Anda," kata Ahok di Balai Kota, Jl Medan Merdeka Selatan, Jakarta, Kamis (12/6/2016) malam. Ahok memang tak menunjukkan surat perjanjiannya, namun menunjukkan berkas 'Berita Acara Rapat Pembahasan Kewajiban Tambahan PT Jakarta Propertindo, PT Muara Wisesa Samudra, PT Taman Harapan Indah, dan PT Jaladri Kartika Pakci untuk Membantu Mengendalikan Banjir di Kawasan Utara Jakarta Terkait dengan Pemberian Izin Reklamasi Pantai Utara Jakarta'. Rapat itu sendiri digelar pada 18 Maret 2014. "Jadi yang datang Podomoro, Jakpro punya kami sendiri, Pembangunan Jaya Ancol, sama Intiland. Di situ dibagilah," kata Ahok. Latar belakang perjanjian ini dibikin adalah tidak adanya landasan hukum berupa Peraturan Daerah (Perda) yang bisa menjadi legitimasi penarikan kewajiban tambahan dari pengembang. Rapat ini digelar saat perusahaan pengembang terkait hendak memperpanjang izin prinsip dan izin pelaksanaan reklamasi. Maka kewajiban ini adalah syarat dari Ahok bagi pengembang agar izin itu bisa diperpanjang. Kewajiban tambahan yang dikenakan adalah terkait pengendalian banjir di kawasan utara Jakarta. Konkretnya, kewajiban berupa rumah pompa, pengerukan sungai dan waduk, peninggian tanggul kali dan pantai, pembangunan jalan inspeksi, pembangunan rumah susun, dan pembangunan tanggul National Capital Integrated Coastal Development (NCICD). "Yang jelas, tambahan kontribusi itu untuk membuat Jakarta tidak banjir," kata Ahok. Perjanjian inilah yang belakangan memunculkan besaran 15 persen tambahan kontribusi yang direncanakan masuk ke Raperda tentang Rencana Tata Ruang Kawasan Strategis Pantai Utara Jakarta. Sebagaimana diketahui, kini DPRD DKI ogah membahas Raperda itu. Namun sebenarnya, maksud Ahok ingin memasukkan besaran 15 persen ke Raperda itu agar kewajiban tambahan kontribusi bisa mempunyai landasan hukum yang lebih kuat dan tak bisa digoyahkan oleh pergantian gubernur DKI sekalipun. "(Alasan ingin memasukkan 15 persen kewajiban tambahan kontribusi ke Raperda) Saya cuma pengin kalau saya sudah tidak menjadi gubernur lagi. Kalau ada gubernur yang edan, dia analisa dia ganti bagaimana?" kata Ahok.
6	Geledah Ruangan Bupati Bengkulu Selatan, BNN Temukan Sabu dan Ekstasi. Jakarta - Ruangan milik Bupati Bengkulu Selatan, Dirwan Mahmud digeledah penyidik Badan Narkotika Nasional Provinsi (BNNP) Bengkulu, Selasa (10/5/2016) pagi. Hasil dari penggeledahan tersebut BNNP menemukan sejumlah narkoba jenis sabu dan ekstasi di dalam sebuah laci. "Ya benar kemarin memang ada penggeledahan. Beberapa barang bukti kami periksa di laboratorium BNN pusat," tutur Deputi Bidang Pemberantasan BNN, Irjen Arman Depari di Gedung BNN, Jalan MT Haryono, Jakarta Timur, Rabu (11/5/2016). Saat ini BNNP Bengkulu masih melakukan pemeriksaan terhadap sang bupati. "Kami baru menggeledah ruangan di salah satu kantornya saja. Masih diproses. Sekarang sedang dilakukan pemeriksaan (bupati)," kata Arman. Dijelaskan Arman, penggeledahan ini dilakukan karena sebelumnya BNNP Bengkulu mendapatkan informasi dari masyarakat yang menyebut bahwa sang Bupati pernah memakai narkoba. Mengenai total barang bukti, Arman juga belum bisa menjelaskan. "Nanti saya jelaskan detailnya," ucapnya.
7	Ini Penampakan Ibu yang Tega Lempar Anaknya dari Lantai 3 Mal di Bekasi. Jakarta - Fitroha (30) melemparkan bayinya Anindita Aprilia yang masih berumur sebulan dari lantai 3 Mal Bekasi Junction, Kota Bekasi. Fitroha mengaku tega membunuh anak kandungnya sendiri karena himpitan ekonomi. Fitroha berdalih, produktivitas suaminya yang merupakan pedagang tempe menurun. Penghasilan suami dinilainya tak cukup untuk menghidupi dirinya, anak sulung yang hendak masuk SD dan si bungsu yang berumur satu bulan. Karena itulah dia memutuskan untuk bunuh diri bersama anaknya. Dari foto yang diterima detikcom, Minggu (15/5/2016), kondisi fisik ibu dua anak ini tampak sehat. Rambutnya yang ikal diikat ke belakang. Dia mengenakan kaos putih lengan pendek. Fitroha yang mengaku kesulitan ekonomi terlihat mengenakan perhiasan emas anting dan kalung. Saat ini Fitroha diamankan di Polresta Metro Bekasi. Sementara jasad putri bungsunya dibawa ke RS Polri Kramatjati, Jakarta Timur, untuk diautopsi. Peristiwa yang menghebohkan pengunjung itu terjadi pada Sabtu (14/5) pukul 09.45 WIB, saat sejumlah toko baru buka. dari lantai 3 Mal Bekasi Junction, Fitroha melemparkan bayinya ke lantai dasar sebuah restoran cepat saji. Suara jatuhnya bayi malang itu sontak membuat warga melihat ke atas. Fitroha sendiri hendak bunuh diri usai melempar bayinya, namun aksinya berhasil digagalkan. Ketika ditolong pengunjung mal, sang bayi yang terbungkus kain bedong itu masih dalam kondisi hidup. Warga sekitar bergegas membawa korban ke klinik. "Namun menurut dokter klinik, kondisi korban sudah parah sehingga kemudian di rujuk ke RS Bhakti Kartini namun pada saat dalam perawatan korban meninggal dunia," kata Kasubag Humas Polresta Metro Bekasi Iptu Puji Astuti.
8	AS Temukan Narkoba RP 289 M di Terowongan Bawah Tanah Perbatasan Meksiko. California - Agen federal Amerika Serikat menemukan terowongan penyelundupan narkoba sepanjang 800 yard (731 meter) di perbatasan dengan Meksiko. Terowongan bawah tanah ini memuat 2 ton kokain dan 7 ton mariyuana. Seperti dilansir CNN, Kamis (21/4/2016), narkoba yang ada di dalam terowongan itu ditaksir bernilai US$ 22 juta atau setara Rp 289 miliar. Terowongan ini berawal dari sebuah rumah di Tijuana, Meksiko dan berakhir di wilayah Otay Mesa, San Diego, California, AS. "Ini terowongan lintas perbatasan terpanjang yang pernah ditemukan," sebut sejumlah agen federal AS yang menemukan terowongan ini. Temuan ini terjadi ketika para agen federal tengah membuntuti tersangka penyelundup narkoba dan tidak sengaja melihat sebuah truk komersial yang membawa sampah industri berisi limbah kayu ke sebuah area industri outdoor. Beberapa hari kemudian agen federal menemukan sebuah lubang di lokasi itu yang menjadi jalan masuk terowongan.  Terowongan itu dilengkapi sistem ventilasi, lampu dan juga lift berukuran besar yang mengarah ke sebuah lemari di kediaman di Tijuana. Jalur keluar terowongan itu berada di dalam wilayah AS dengan bentuk sebuah lubang berdiameter 3 kaki (1 meter) yang ditutupi limbah industri. "Di permukaan, hanya sedikit orang yang mencurigai para penyelundup menyalurkan sejumlah besar kokain dan mariyuana yang ditaksir bernilai puluhan juta dolar AS, melalui lubang kelinci di dalam tanah ini," ucap jaksa federal AS, Laura Duffy, dalam pernyataannya. Enam orang ditangkap di San Diego dan dijerat berbagai dakwaan narkoba. "Kasus ini menjadi pengingat soal kerapuhan yang ada di sepanjang perbatasan barat daya (AS)," ucap Direktur Operasional Udara pada Badan Bea Cukai dan Perlindungan Perbatasan AS. Sejak tahun 2006, tercatat ada 13 terowongan penyelundupan narkoba skala besar yang ditemukan di sepanjang perbatasan California, AS.
9	Kapal Pesiar Rusia Ditahan Penjaga Pantai Korea Utara. Moskow - Sebuah kapal pesiar Rusia telah ditahan oleh penjaga pantai Korea Utara di Laut Jepang. Otoritas Rusia menyebutkan ada 5 orang kru yang berada di dalam kapal tersebut. "Pihak Korea Utara telah memberitahu bahwa kapal pesiar itu dibawa ke pelabuhan Kimchaek," ucap pejabat Kementerian Luar Negeri Rusia, Igor Agafonov, di kota Vladivostok, kepada kantor berita RIA Novosti, seperti dilansir AFP, Sabtu (14/5/2016). "Para kru masih hidup dan dalam keadaan baik-baik saja. Kami masih menunggu penjelasan dari Korea Utara mengenai alasan dari penahanan itu," imbuh Aganofov yang juga menyebut bahwa diplomatnya tengah meminta izin untuk menemui para kru itu. Sebelumnya seorang pejabat di Kedutaan Rusia di Pyongyang menyampaikan pada kantor berita TASS bahwa kapal Elfin itu ditahan oleh penjaga pantai Korea Utara pada Jumat lalu. Pejabat yang enggan disebut namanya itu mengatakan bahwa kapal itu tengah berlayar menuju ke Vladivostok usai mengikuti sebuah kompetisi di pelabuhan Busan, Korea Selatan. "Pihak kedutaan telah memberikan catatan kepada Korea Utara agar segera melepaskan para kru," ucap juru bicara utusan Rusia di Korea Utara, Denis Samsonov kepada kantor berita RIA Novosti. Pada Jumat lalu, Wakil Presiden Federasi Pelayaran Regional Yevgeny Khromchenko menulis di halaman Facebook-nya bahwa kepal itu diberhentikan oleh 'nelayan Korea Utara' di jarak 85 nautical miles atau 160 km dari pantai. Kapal itu juga diderek ke daratan.
10	Demo HMI di Depan Gedung KPK Ricuh, Massa Lempari Batu dan Bakar Ban. Jakarta - Demo di depan gedung KPK yang dilakukan massa Himpunan Mahasiswa Islam (HMI) berlangsung ricuh. Massa melempari gedung KPK dengan batu. Puluhan orang yang mengenakan atribut HMI menggelar demo di depan KPK, Jl HR Rasuna Said, Jakarta Selatan, Senin (9/5/2016). Meski hanya berjumlah puluhan, mereka menutup satu lajur Jalan HR Rasuna Said yang mengarah ke Mampang. Sempat terjadi keributan antara massa HMI dan petugas kepolisian yang ingin meminggirkan massa agar tidak menutup jalan. Namun, usaha pihak kepolisian tidak berhasil. Sebagian massa bahkan memaksa untuk masuk ke dalam gedung KPK. Mereka melempari pintu depan gedung KPK dengan batu. Massa juga melakukan aksi bakar ban di jalan. Karena hal itu, polisi pun menembakkan gas air mata ke arah massa HMI. Massa berlarian ke arah gedung Kedutaan Arab Saudi. Hingga saat ini pukul 13.31 WIB, kericuhan masih berlangsung. Satu orang polisi terluka akibat terkena lemparan batu massa. Massa tersebut menuntut agar Wakil Ketua KPK Saut Situmorang mengundurkan diri karena menyebut HMI dekat dengan korupsi dalam sebuah acara di televisi pada 5 Mei 2016. Saut sudah meminta maaf atas penyataannya tersebut.
